query_id,doc_id,rank,semantic_score,bm25_score,title_overlap,category_match,chunk_position,doc_length,relevance_score,label
22,doc_058_chunk_027,18,0.45697617530822754,0.09501587570585265,0.0,0.0,0.037037037037037035,0.844,0.0,0
18,doc_064_chunk_025,8,0.7199390530586243,0.2803241911958378,0.0,0.0,0.04,1.0,0.35714285714285715,1
60,doc_063_chunk_010,25,0.22616295516490936,0.16903735761937227,0.0,0.0,0.1,1.0,0.0,0
41,doc_048_chunk_023,17,0.6596689224243164,0.36015000638916733,0.0,0.0,0.043478260869565216,0.96,0.2,0
81,doc_062_chunk_024,6,0.36574164032936096,0.32670573741032205,0.0,0.0,0.041666666666666664,0.968,0.3333333333333333,1
3,doc_066_chunk_036,9,0.2902742028236389,0.4379931733524746,0.0,0.0,0.027777777777777776,1.0,0.0,0
44,doc_050_chunk_023,9,0.6602810025215149,0.7834021758517187,0.09090909090909091,1.0,0.043478260869565216,0.93,0.14285714285714285,0
59,doc_062_chunk_012,1,0.7027577757835388,0.8903594049484377,0.45454545454545453,0.0,0.08333333333333333,0.584,0.7777777777777778,1
107,doc_063_chunk_010,3,0.5511612296104431,0.29177492884500866,0.0,0.0,0.1,1.0,0.0,0
16,doc_063_chunk_028,5,0.666149914264679,0.4789950728272539,0.0,0.0,0.03571428571428571,1.0,0.625,1
42,doc_048_chunk_019,1,0.673142671585083,0.8753866009425393,0.125,1.0,0.05263157894736842,0.872,0.52,1
99,doc_048_chunk_022,1,0.5092247128486633,0.40188026466542714,0.2,1.0,0.045454545454545456,0.668,0.38461538461538464,1
73,doc_051_chunk_011,0,0.7871962785720825,1.0,0.16666666666666666,0.0,0.09090909090909091,0.808,0.8823529411764706,1
38,doc_066_chunk_026,7,0.41226184368133545,0.5145025629600369,0.0,0.0,0.038461538461538464,1.0,0.04666666666666667,0
31,doc_063_chunk_035,19,0.4583563506603241,0.22043575061597742,0.0,0.0,0.02857142857142857,1.0,0.18181818181818182,0
30,doc_063_chunk_028,0,0.534390389919281,1.0,0.0,0.0,0.03571428571428571,1.0,0.5714285714285714,1
87,doc_046_chunk_002,1,0.6572800874710083,0.6079584483045799,0.0,1.0,0.5,0.852,0.42857142857142855,1
40,doc_061_chunk_011,24,0.3526661992073059,0.30646703633576367,0.0,0.0,0.09090909090909091,0.862,0.07407407407407407,0
